transaction_id,order_date,delivery_date,product_name,sales_channel,unit_cost_try,unit_price_try,dispatched_qty_kg,received_qty_kg,shrinkage_qty_kg,actual_lead_time_days,delay_days,gross_revenue_try,cogs_try,gross_margin_try,gross_margin_pct
TRX-0191,2025-09-30,2025-10-03,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,3,0,1654.8,660.0,994.8,60.12
TRX-0009,2025-10-02,2025-10-05,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0206,2025-10-05,2025-10-06,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,1,0,1654.8,660.0,994.8,60.12
TRX-0214,2025-10-06,2025-10-10,Kuru Uzum,B2B - Toptan,110,160,28.7,28.27,0.43,4,0,4523.2,3157.0,1366.2,30.2
TRX-0025,2025-10-08,2025-10-09,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,0,8539.2,3840.0,4699.2,55.03
TRX-0044,2025-10-09,2025-10-11,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,1,8539.2,3840.0,4699.2,55.03
TRX-0229,2025-10-10,2025-10-11,Kucukbas Besi (Canli),D2C - Perakende,7500,14500,1.0,1.0,0.0,1,0,14500.0,7500.0,7000.0,48.28
TRX-0013,2025-10-10,2025-10-12,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,1,8539.2,3840.0,4699.2,55.03
TRX-0099,2025-10-11,2025-10-14,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,3,0,8313.0,3800.0,4513.0,54.29
TRX-0064,2025-10-11,2025-10-15,Bal,B2B - Toptan,320,440,40.0,39.52,0.48,4,0,17388.8,12800.0,4588.8,26.39
TRX-0204,2025-10-18,2025-10-20,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,2,0,1654.8,660.0,994.8,60.12
TRX-0194,2025-10-21,2025-10-24,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,3,0,1654.8,660.0,994.8,60.12
TRX-0110,2025-10-22,2025-10-24,Cig Antep Fistigi,B2B - Toptan,380,520,50.0,48.9,1.1,2,0,25428.0,19000.0,6428.0,25.28
TRX-0092,2025-10-25,2025-10-26,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,1,0,8313.0,3800.0,4513.0,54.29
TRX-0123,2025-10-27,2025-10-30,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,3,0,2972.0,1200.0,1772.0,59.62
TRX-0145,2025-10-28,2025-11-01,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,3,1,2972.0,1200.0,1772.0,59.62
TRX-0048,2025-10-29,2025-10-30,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,0,8539.2,3840.0,4699.2,55.03
TRX-0196,2025-10-30,2025-10-31,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,1,0,1654.8,660.0,994.8,60.12
TRX-0163,2025-10-30,2025-11-03,Pekmez,B2B - Toptan,160,230,25.0,24.75,0.25,4,0,5692.5,4000.0,1692.5,29.73
TRX-0003,2025-10-31,2025-11-03,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0159,2025-10-31,2025-11-04,Pekmez,B2B - Toptan,160,230,25.0,24.75,0.25,3,1,5692.5,4000.0,1692.5,29.73
TRX-0130,2025-10-31,2025-11-04,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,3,1,2972.0,1200.0,1772.0,59.62
TRX-0161,2025-11-09,2025-11-12,Pekmez,B2B - Toptan,160,230,25.0,24.75,0.25,3,0,5692.5,4000.0,1692.5,29.73
TRX-0038,2025-11-10,2025-11-11,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,0,8539.2,3840.0,4699.2,55.03
TRX-0234,2025-11-10,2025-11-14,Kucukbas Besi (Canli),B2B - Toptan,7500,12000,5.0,5.0,0.0,4,0,60000.0,37500.0,22500.0,37.5
TRX-0147,2025-11-12,2025-11-15,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,3,0,2972.0,1200.0,1772.0,59.62
TRX-0179,2025-11-12,2025-11-14,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,2,0,1654.8,660.0,994.8,60.12
TRX-0134,2025-11-13,2025-11-15,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,1,1,2972.0,1200.0,1772.0,59.62
TRX-0167,2025-11-14,2025-11-17,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,3,0,1654.8,660.0,994.8,60.12
TRX-0088,2025-11-17,2025-11-20,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,2,1,8313.0,3800.0,4513.0,54.29
TRX-0030,2025-11-17,2025-11-20,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0116,2025-11-17,2025-11-19,Cig Antep Fistigi,B2B - Toptan,380,520,50.0,48.9,1.1,2,0,25428.0,19000.0,6428.0,25.28
TRX-0067,2025-11-20,2025-11-22,Bal,B2B - Toptan,320,440,40.0,39.52,0.48,2,0,17388.8,12800.0,4588.8,26.39
TRX-0175,2025-11-20,2025-11-21,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,1,0,1654.8,660.0,994.8,60.12
TRX-0020,2025-11-21,2025-11-23,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,2,0,8539.2,3840.0,4699.2,55.03
TRX-0094,2025-11-22,2025-11-25,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,3,0,8313.0,3800.0,4513.0,54.29
TRX-0155,2025-11-22,2025-11-23,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,1,0,2972.0,1200.0,1772.0,59.62
TRX-0128,2025-11-23,2025-11-26,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,3,0,2972.0,1200.0,1772.0,59.62
TRX-0140,2025-11-24,2025-11-25,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,1,0,2972.0,1200.0,1772.0,59.62
TRX-0154,2025-11-28,2025-12-01,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,3,0,2972.0,1200.0,1772.0,59.62
TRX-0164,2025-11-28,2025-12-02,Pekmez,B2B - Toptan,160,230,25.0,24.75,0.25,3,1,5692.5,4000.0,1692.5,29.73
TRX-0089,2025-11-30,2025-12-03,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,3,0,8313.0,3800.0,4513.0,54.29
TRX-0180,2025-12-02,2025-12-04,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,1,1,1654.8,660.0,994.8,60.12
TRX-0022,2025-12-03,2025-12-06,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0171,2025-12-03,2025-12-06,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,3,0,1654.8,660.0,994.8,60.12
TRX-0173,2025-12-04,2025-12-05,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,1,0,1654.8,660.0,994.8,60.12
TRX-0024,2025-12-04,2025-12-05,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,0,8539.2,3840.0,4699.2,55.03
TRX-0090,2025-12-05,2025-12-06,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,1,0,8313.0,3800.0,4513.0,54.29
TRX-0004,2025-12-06,2025-12-09,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0076,2025-12-07,2025-12-10,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,2,1,8313.0,3800.0,4513.0,54.29
TRX-0055,2025-12-08,2025-12-09,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,0,8539.2,3840.0,4699.2,55.03
TRX-0082,2025-12-09,2025-12-11,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,2,0,8313.0,3800.0,4513.0,54.29
TRX-0010,2025-12-11,2025-12-14,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0184,2025-12-12,2025-12-14,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,1,1,1654.8,660.0,994.8,60.12
TRX-0230,2025-12-12,2025-12-14,Kucukbas Besi (Canli),B2B - Toptan,7500,12000,5.0,5.0,0.0,2,0,60000.0,37500.0,22500.0,37.5
TRX-0178,2025-12-15,2025-12-17,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,2,0,1654.8,660.0,994.8,60.12
TRX-0087,2025-12-15,2025-12-16,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,1,0,8313.0,3800.0,4513.0,54.29
TRX-0078,2025-12-15,2025-12-17,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,2,0,8313.0,3800.0,4513.0,54.29
